,Unnamed: 0,brand,model,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,country
8415,8415,Renault,Capture,3000.0,2021,2,154.0,0,petrol,1.3,0,0,0,0,0,0,France
8416,8416,Renault,Megane Grand Coupe,57900.0,2019,3,116.0,0,diesel,1.5,0,0,0,0,0,0,France
8417,8417,Skoda,Octavia,4020.0,2018,1,115.0,0,petrol,1.0,0,0,0,0,0,0,Czech Republic
8418,8418,Mazda,3,2000.0,2010,2,105.0,0,petrol,1.6,0,0,0,0,0,0,Japan
8419,8419,Chevrolet,Trail Blazer,95000.0,2021,1,155.0,0,electric,1.3,0,0,0,0,0,0,United States
8420,8420,Subaru,B3,500.0,2008,3,107.0,0,petrol,1.5,0,0,0,0,0,0,Japan
8421,8421,Nissan,X-Trail,137000.0,2021,1,150.0,0,diesel,1.7,0,0,0,0,0,0,Japan
8422,8422,Kia,Rio,20000.0,2014,3,109.0,0,petrol,1.4,0,0,0,0,0,0,South Korea
8423,8423,Toyota,Land Cruiser,216700.0,2012,1,190.0,1,diesel,3.0,0,0,0,0,0,0,Japan
8424,8424,Renault,Fluence,30450.0,2016,2,110.0,0,diesel,1.5,0,0,0,0,0,0,France
8425,8425,Kia,Sportage,95000.0,2020,1,155.0,0,petrol,2.0,0,0,0,0,0,0,South Korea
8426,8426,Audi,A4,110000.0,2018,3,190.0,0,petrol,2.0,0,0,0,0,0,0,Germany
8427,8427,Subaru,Forester,138600.0,2019,1,182.0,1,petrol,2.5,0,0,0,0,0,0,Japan
8428,8428,Citroen,C5,9000.0,2021,1,130.0,0,diesel,1.5,0,0,0,0,0,0,France
8429,8429,Peugeot,3008,95651.0,2020,1,130.0,0,petrol,1.2,0,0,0,0,0,0,France
8430,8430,Toyota,Corolla Hybrid,110900.0,2021,1,98.0,0,petrol,1.8,0,0,0,0,0,0,Japan
8431,8431,Peugeot,3008,83008.0,2019,1,130.0,0,petrol,1.2,0,0,0,0,0,0,France
8432,8432,Skoda,Octavia,89794.0,2020,1,150.0,0,petrol,1.5,0,0,0,0,0,0,Czech Republic
8433,8433,Toyota,Corolla Hybrid,110313.0,2021,1,98.0,0,petrol,1.8,0,0,0,0,0,0,Japan
8434,8434,Kia,Stonic,83000.0,2021,1,100.0,0,petrol,1.0,0,0,0,0,0,0,South Korea
8435,8435,Hyundai,Ioniq,104660.0,2021,1,141.0,0,hybrid,1.6,0,0,0,0,0,0,South Korea
8436,8436,Hyundai,Ioniq,74000.0,2018,2,141.0,0,hybrid,1.6,0,0,0,0,0,0,South Korea
8437,8437,Toyota,Land Cruiser,136000.0,2009,3,173.0,1,diesel,3.0,0,0,0,0,0,0,Japan
8438,8438,Peugeot,208,29000.0,2015,4,110.0,0,petrol,1.2,0,0,0,0,0,0,France
8439,8439,Toyota,Corolla,50000.0,2013,3,132.0,0,petrol,1.6,0,0,0,0,0,0,Japan
8440,8440,Suzuki,Splash,15500.0,2013,2,95.0,0,petrol,1.2,0,0,0,0,0,0,Japan
8441,8441,Mazda,CX-5,66000.0,2016,3,165.0,0,petrol,2.0,0,0,0,0,0,0,Japan
