,brand,model,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,cruise_control
424,Mitsubishi,L200,50000.0,2011,5,136.0,1,diesel,2.5,1,1,0,1,0
425,Citroen,C4,63900.0,2020,1,130.0,0,petrol,1.2,0,0,0,0,0
426,Mazda,CX-5,92000.0,2017,1,165.0,0,petrol,2.0,0,1,1,0,0
427,Nissan,QASHQAI,74900.0,2019,1,160.0,0,petrol,1.3,0,1,1,0,1
428,Chevrolet,TRAVERSE,134500.0,2018,1,281.0,0,electric,3.6,0,0,0,0,0
429,Peugeot,3008,97990.0,2019,1,130.0,0,diesel,1.5,0,1,1,1,0
430,Nissan,QASHQAI,86031.0,2017,1,115.0,0,petrol,1.2,0,1,1,1,0
431,Audi,SQ5,229900.0,2019,2,354.0,1,petrol,3.0,1,1,1,0,0
432,Kia,SPORTAGE,119600.0,2021,1,155.0,0,petrol,2.0,1,1,1,0,0
433,Nissan,QASHQAI,85000.0,2021,1,160.0,0,petrol,1.3,0,1,1,0,1
434,Kia,NIRO HYBRID,100000.0,2021,1,141.0,0,hybrid,1.6,0,0,1,0,1
435,Volvo,S60,199000.0,2021,1,390.0,0,petrol,2.0,0,1,1,0,1
436,Hyundai,ACCENT/I25,78000.0,2020,1,123.0,0,petrol,1.6,1,0,1,0,0
437,Peugeot,5008,91900.0,2019,2,130.0,0,diesel,1.5,0,1,1,1,0
438,Mitsubishi,ASX,66800.0,2019,1,150.0,0,petrol,2.0,1,1,1,0,0
439,Citroen,C5,149900.0,2023,1,130.0,0,petrol,1.2,0,0,1,0,1
440,Hyundai,I25,36000.0,2016,3,124.0,0,petrol,1.6,1,0,0,0,0
441,Skoda,KODIAQ,148000.0,2021,2,150.0,0,diesel,2.0,1,0,0,0,0
442,Porsche,CAYENNE,550000.0,2022,1,340.0,1,petrol,3.0,1,0,0,0,0
443,Hyundai,IONIQ,83000.0,2018,2,141.0,0,hybrid,1.6,0,0,1,1,0
444,Mercedes-Benz,ML CLASS,112000.0,2015,1,258.0,1,diesel,3.0,1,1,1,0,0
445,Hyundai,SONATA HYBRID,70000.0,2016,3,154.0,0,hybrid,2.0,0,0,1,0,1
446,Mercedes-Benz,C-CLASS,350000.0,2021,3,258.0,0,petrol,2.0,0,1,1,0,1
447,Mitsubishi,OUTLANDER,127300.0,2020,1,135.0,1,hybrid,2.4,0,1,0,0,1
448,Mitsubishi,LANCER,12500.0,2008,3,143.0,0,petrol,1.8,1,0,0,0,0
449,Volvo,XC90,165000.0,2016,1,320.0,1,petrol,2.0,1,1,0,0,1
450,Toyota,COROLLA,95000.0,2021,1,125.0,0,petrol,1.5,0,1,1,0,1
451,BMW,7 SERIES,218000.0,2017,3,326.0,0,petrol,3.0,1,1,0,1,0
452,Mercedes-Benz,GLC,326200.0,2022,2,255.0,1,petrol,2.0,1,1,1,0,0
453,Skoda,SUPERB,50000.0,2015,2,150.0,0,petrol,1.4,0,1,1,0,1
454,Mercedes-Benz,VIANO,57900.0,2012,3,224.0,0,diesel,3.0,1,0,0,0,0
455,Toyota,C-HR,98800.0,2019,1,98.0,0,hybrid,1.8,0,1,1,0,1
456,Subaru,FORESTER,114900.0,2019,1,182.0,1,petrol,2.5,1,1,0,0,1
457,Land Rover,RANGE ROVER EVOQUE,269000.0,2021,3,200.0,1,hybrid,1.5,0,0,1,0,1
458,Skoda,SUPERB,120000.0,2021,1,190.0,0,petrol,2.0,0,1,1,0,1
459,Skoda,OCTAVIA,3000.0,2017,3,150.0,0,diesel,2.0,1,1,0,1,0
460,Mercedes-Benz,SLK,125000.0,2012,10,204.0,0,petrol,1.8,1,1,0,0,0
461,Subaru,XV,49900.0,2018,1,156.0,1,petrol,2.0,0,1,1,1,0
462,Kia,SPORTAGE,67000.0,2018,1,155.0,0,petrol,2.0,1,1,1,0,0
463,Jeep,GRAND CHEROKEE,9000.0,2015,2,282.0,1,petrol,3.6,1,1,0,0,0
464,Jeep,GRAND CHEROKEE,107800.0,2016,1,282.0,1,petrol,3.6,1,1,0,0,0
465,Peugeot,3008,112000.0,2021,1,130.0,0,petrol,1.2,0,1,1,1,0
466,Nissan,QASHQAI,106300.0,2020,1,160.0,0,petrol,1.3,0,1,1,1,0
467,Honda,CR-V,26800.0,2009,2,150.0,1,petrol,2.0,1,1,0,0,0
468,Mitsubishi,ASX,98500.0,2021,1,150.0,0,petrol,2.0,0,1,1,1,0
469,Skoda,SUPERB,118000.0,2018,2,180.0,0,petrol,1.8,0,1,1,1,0
470,Suzuki,IGNIS,59900.0,2018,1,90.0,0,petrol,1.2,0,1,1,1,0
471,Mazda,CX-5,109900.0,2020,3,165.0,0,petrol,2.0,0,1,1,1,0
472,Skoda,OCTAVIA,2400.0,2017,2,180.0,0,petrol,1.8,1,0,0,0,0
473,BMW,X3,270000.0,2019,1,354.0,1,petrol,3.0,1,1,1,0,0
474,MG,EHS PHEV,137000.0,2022,1,258.0,0,hybrid,1.5,1,0,0,0,0
475,Audi,Q7,132000.0,2015,4,245.0,1,diesel,3.0,1,1,0,0,0
476,Kia,PICANTO,85000.0,2023,1,84.0,0,petrol,1.2,0,1,1,1,0
477,Subaru,XV,69475.0,2016,1,150.0,1,petrol,2.0,0,1,1,1,0
478,Hyundai,I30,15250.0,2009,3,126.0,0,petrol,1.6,1,0,0,0,0
479,Chevrolet,EQUINOX,120000.0,2021,1,170.0,0,electric,1.5,1,1,1,0,0
480,Mazda,CX-5,57000.0,2014,3,155.0,0,petrol,2.0,1,1,0,1,0
481,Hyundai,SONATA HYBRID,80000.0,2019,3,154.0,0,hybrid,2.0,0,1,1,0,0
482,Chevrolet,TRAVERSE,52000.0,2014,2,281.0,0,electric,3.6,1,0,0,0,0
483,Kia,PICANTO,27900.0,2014,3,85.0,0,petrol,1.2,1,0,0,0,0
484,Skoda,FABIA,45000.0,2015,2,110.0,0,petrol,1.2,1,0,0,1,0
485,Peugeot,2008,2500.0,2019,2,110.0,0,petrol,1.2,1,0,1,1,0
486,Kia,PICANTO,28000.0,2012,3,85.0,0,petrol,1.2,0,1,0,0,0
487,Ford,MUSTANG,215000.0,2022,2,310.0,0,petrol,2.3,1,1,1,0,0
488,Toyota,COROLLA HYBRID,100900.0,2020,1,98.0,0,petrol,1.8,1,1,0,1,0
489,Mitsubishi,L200,179000.0,2021,2,150.0,1,diesel,2.3,1,1,1,0,0
490,Nissan,QASHQAI,91378.0,2018,1,115.0,0,petrol,1.2,0,1,1,1,0
491,Kia,SPORTAGE,103900.0,2021,1,177.0,0,petrol,1.6,1,1,1,0,0
492,Porsche,CAYENNE,129000.0,2013,4,420.0,1,petrol,4.8,1,0,0,0,0
493,Toyota,COROLLA HYBRID,95500.0,2019,1,98.0,0,hybrid,1.8,0,1,0,1,0
494,Suzuki,ALTO,17000.0,2014,3,67.0,0,petrol,1.0,1,0,0,1,0
495,Kia,SELTOS,128500.0,2022,1,149.0,0,petrol,2.0,0,1,1,0,0
496,Jeep,GRAND CHEROKEE,122800.0,2017,1,282.0,1,petrol,3.6,1,1,1,0,0
497,Seat,ATKA,89900.0,2020,1,150.0,0,petrol,1.5,0,1,1,0,1
498,Skoda,SUPERB,82900.0,2018,2,180.0,0,petrol,1.8,0,1,1,1,0
499,Citroen,C3,71791.0,2020,1,110.0,0,petrol,1.2,1,1,1,0,0
500,Mercedes-Benz,A-CLASS,229000.0,2022,1,160.0,0,hybrid,1.3,1,0,0,1,1
501,Nissan,X-TRAIL,105000.0,2019,1,150.0,0,diesel,1.7,0,1,1,1,0
502,BMW,X1,119000.0,2019,2,140.0,0,petrol,1.5,0,1,1,1,0
503,Mazda,5,34500.0,2012,2,145.0,0,petrol,2.0,0,0,0,0,0
